Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,# du,,%3PA c,3P% c,,Att.,#
189,Jeff Green\greenje02,C,34,BRK,68,1835,0.492,14.4,,0.528,0.281,0.149,0.072,0.026,0.472,,0.564,0.725,0.329,0.526,0.286,0.412,,0.728,0.951,,0.077,39,,0.42,0.438,,3,0
190,Josh Green\greenjo02,SG,20,DAL,39,445,0.452,10.2,,0.731,0.419,0.172,0.054,0.086,0.269,,0.559,0.667,0.375,0.6,0.375,0.16,,0.658,1,,0.118,9,,0.76,0.211,,0,0
191,Blake Griffin\griffbl01,PF,31,TOT,46,1186,0.423,15.1,,0.501,0.265,0.175,0.029,0.032,0.499,,0.505,0.633,0.431,0.167,0.154,0.341,,0.5,0.757,,0.046,18,,0.18,0.27,,1,0
191,Blake Griffin\griffbl01,PF,31,DET,20,626,0.365,17.3,,0.441,0.144,0.207,0.045,0.045,0.559,,0.429,0.656,0.391,0.2,0.1,0.315,,0.286,0.615,,0,0,,0.169,0.238,,0,0
191,Blake Griffin\griffbl01,PF,31,BRK,26,560,0.492,12.5,,0.571,0.407,0.138,0.011,0.016,0.429,,0.574,0.623,0.5,0,0.333,0.383,,0.645,0.935,,0.101,18,,0.198,0.313,,1,0
192,Kyle Guy\guyky01,PG,23,SAC,31,235,0.33,16.2,,0.477,0.159,0.193,0.068,0.057,0.523,,0.381,0.5,0.176,0.5,0.6,0.283,,0.563,0.923,,0.011,0,,0.37,0.294,,0,0
193,Rui Hachimura\hachiru01,PF,22,WAS,57,1797,0.478,12.3,,0.789,0.221,0.238,0.154,0.176,0.211,,0.519,0.748,0.442,0.43,0.412,0.328,,0.74,1,,0.1,58,,0.307,0.286,,0,0
194,Ashton Hagans\haganas01,PG,21,MIN,2,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
195,Tyrese Haliburton\halibty01,PG,20,SAC,58,1746,0.472,17.1,,0.522,0.139,0.17,0.126,0.087,0.478,,0.529,0.674,0.514,0.436,0.463,0.409,,0.322,0.785,,0.029,17,,0.27,0.438,,6,0
196,Donta Hall\halldo01,PF,23,ORL,13,179,0.714,3,,1,0.686,0.229,0.057,0.029,0,,0.714,0.833,0.375,1,0,,,0.72,,,0.457,14,,,,,0,0
197,Josh Hall\halljo01,SF,20,OKC,21,336,0.303,13.9,,0.626,0.152,0.333,0.111,0.03,0.374,,0.419,0.6,0.333,0.455,0.333,0.108,,0.462,1,,0.01,1,,0.135,0,,1,0
198,R.J. Hampton\hamptrj01,SG-PG,19,TOT,51,888,0.435,12.3,,0.722,0.246,0.272,0.118,0.086,0.278,,0.482,0.662,0.376,0.378,0.444,0.31,,0.358,0.926,,0.045,11,,0.253,0.5,,1,0
198,R.J. Hampton\hamptrj01,PG,19,DEN,25,233,0.417,12.3,,0.7,0.25,0.283,0.15,0.017,0.3,,0.476,0.533,0.353,0.556,1,0.278,,0.35,1,,0.05,3,,0.333,0.5,,1,0
198,R.J. Hampton\hamptrj01,SG,19,ORL,26,655,0.439,12.3,,0.727,0.245,0.269,0.111,0.103,0.273,,0.484,0.694,0.382,0.321,0.423,0.319,,0.36,0.909,,0.043,8,,0.232,0.5,,0,0
199,Tim Hardaway Jr.\hardati02,SG,28,DAL,70,1985,0.447,18.5,,0.419,0.158,0.099,0.075,0.088,0.581,,0.524,0.715,0.4,0.426,0.4,0.391,,0.545,0.841,,0.036,28,,0.185,0.388,,3,0
200,James Harden\hardeja01,PG-SG,31,TOT,44,1609,0.466,14.5,,0.545,0.238,0.257,0.04,0.01,0.455,,0.553,0.674,0.455,0.448,0.571,0.362,,0.167,0.248,,0.007,4,,0.045,0.333,,2,0
200,James Harden\hardeja01,SG,31,HOU,8,290,0.444,15.7,,0.467,0.311,0.133,0.022,0,0.533,,0.556,0.69,0.278,0.333,,0.347,,0.2,0.28,,0.007,1,,0.056,0.25,,1,0
200,James Harden\hardeja01,PG,31,BRK,36,1319,0.471,14.2,,0.563,0.222,0.285,0.043,0.012,0.437,,0.552,0.669,0.474,0.462,0.571,0.366,,0.161,0.24,,0.007,3,,0.042,0.364,,1,0
201,Maurice Harkless\harklma01,PF-SF,27,TOT,37,772,0.418,14.8,,0.491,0.321,0.109,0.012,0.048,0.509,,0.568,0.66,0.333,0.5,0.5,0.274,,0.717,0.913,,0.139,18,,0.429,0.333,,0,0
201,Maurice Harkless\harklma01,SF,27,MIA,11,124,0.385,21,,0.154,0.154,0,0,0,0.846,,0,0,,,,0.455,,,1,,0.077,0,,0.545,0.5,,0,0
201,Maurice Harkless\harklma01,PF,27,SAC,26,648,0.421,14.3,,0.52,0.336,0.118,0.013,0.053,0.48,,0.582,0.686,0.333,0.5,0.5,0.247,,0.717,0.889,,0.145,18,,0.411,0.3,,0,0
202,Jared Harper\harpeja01,PG,23,NYK,8,16,0,12.5,,0.75,0,0.5,0.25,0,0.25,,0,,0,0,,0,,,,,0,0,,0,,,0,0
203,Montrezl Harrell\harremo01,C,27,LAL,69,1580,0.622,4.7,,0.983,0.577,0.259,0.114,0.033,0.017,,0.632,0.75,0.506,0.435,0.25,0,,0.605,,,0.214,118,,0.1,0,,1,0
204,Gary Harris\harriga01,SG,26,TOT,39,1080,0.4,14.3,,0.591,0.235,0.191,0.067,0.099,0.409,,0.441,0.605,0.318,0.391,0.324,0.34,,0.633,0.854,,0.032,10,,0.333,0.426,,0,0
204,Gary Harris\harriga01,SG,26,DEN,19,581,0.442,14.4,,0.519,0.256,0.186,0.026,0.051,0.481,,0.556,0.75,0.379,0.5,0.25,0.32,,0.733,1,,0.051,8,,0.453,0.471,,0,0
204,Gary Harris\harriga01,SG,26,ORL,20,499,0.365,14.3,,0.651,0.217,0.196,0.101,0.138,0.349,,0.366,0.463,0.27,0.368,0.346,0.364,,0.533,0.708,,0.016,2,,0.197,0.308,,0,0
205,Jalen Harris\harrija01,SG,22,TOR,13,172,0.5,15.8,,0.5,0.236,0.194,0,0.069,0.5,,0.528,0.706,0.357,,0.4,0.472,,0.263,0.882,,0.028,2,,0.306,0.636,,1,0
206,Joe Harris\harrijo01,SF,29,BRK,69,2141,0.505,18.5,,0.372,0.171,0.076,0.071,0.054,0.628,,0.555,0.661,0.426,0.54,0.421,0.475,,0.774,1,,0.003,2,,0.209,0.505,,0,0
207,Tobias Harris\harrito02,PF,28,PHI,62,2014,0.512,11.7,,0.775,0.22,0.313,0.144,0.098,0.225,,0.546,0.709,0.474,0.511,0.462,0.394,,0.358,0.817,,0.043,35,,0.202,0.452,,0,0
208,Shaquille Harrison\harrish01,SG,27,TOT,34,333,0.333,9.3,,0.795,0.385,0.295,0.051,0.064,0.205,,0.371,0.567,0.087,0.25,0.6,0.188,,0.304,1,,0.026,2,,0.563,0.222,,0,0
208,Shaquille Harrison\harrish01,SG,27,UTA,17,56,0.3,7.5,,0.9,0.4,0.35,0.1,0.05,0.1,,0.333,0.5,0,0.5,1,0,,0.167,,,0,0,,0.5,0,,0,0
208,Shaquille Harrison\harrish01,SG,27,DEN,17,277,0.345,9.9,,0.759,0.379,0.276,0.034,0.069,0.241,,0.386,0.591,0.125,0,0.5,0.214,,0.353,1,,0.034,2,,0.571,0.25,,0,0
209,Josh Hart\hartjo01,SF,25,NOP,47,1349,0.439,16.1,,0.439,0.302,0.061,0.026,0.049,0.561,,0.583,0.654,0.381,0.556,0.412,0.326,,0.591,0.984,,0.035,12,,0.342,0.303,,1,1
210,Isaiah Hartenstein\harteis01,C,22,TOT,46,559,0.55,4.4,,0.965,0.538,0.38,0.035,0.012,0.035,,0.558,0.63,0.508,0.167,0,0.333,,0.783,1,,0.181,28,,0,,,0,0
210,Isaiah Hartenstein\harteis01,C,22,DEN,30,272,0.513,3.1,,1,0.588,0.388,0.013,0.013,0,,0.513,0.532,0.516,0,0,,,0.805,,,0.163,12,,,,,0,0
210,Isaiah Hartenstein\harteis01,C,22,CLE,16,287,0.582,5.7,,0.934,0.495,0.374,0.055,0.011,0.066,,0.6,0.733,0.5,0.2,0,0.333,,0.765,1,,0.198,16,,0,,,0,0
211,Udonis Haslem\hasleud01,C,40,MIA,1,3,1,8.6,,1,0.5,0,0.5,0,0,,1,1,,1,,,,1,,,0,0,,,,,0,0
212,Jaxson Hayes\hayesja02,C,20,NOP,60,964,0.625,4.5,,0.95,0.646,0.232,0.05,0.021,0.05,,0.635,0.724,0.492,0.214,0.5,0.429,,0.763,1,,0.268,71,,0.357,0.4,,1,1
213,Killian Hayes\hayeski01,PG,19,DET,26,670,0.353,14.3,,0.642,0.09,0.353,0.144,0.055,0.358,,0.395,0.444,0.408,0.414,0.182,0.278,,0.235,0.85,,0.005,1,,0.167,0.167,,0,0
214,Gordon Hayward\haywago01,SF,30,CHO,44,1496,0.473,13.7,,0.688,0.213,0.198,0.161,0.117,0.312,,0.499,0.671,0.392,0.453,0.429,0.415,,0.606,0.871,,0.033,21,,0.176,0.639,,0,0
215,Juan Hernangómez\hernaju01,PF,25,MIN,52,900,0.435,15.2,,0.438,0.334,0.097,0.007,0,0.562,,0.573,0.69,0.207,0,,0.327,,0.747,0.982,,0.047,12,,0.226,0.447,,0,0
216,Willy Hernangómez\hernawi01,C,26,NOP,47,846,0.563,4.1,,0.963,0.642,0.246,0.063,0.011,0.037,,0.581,0.634,0.5,0.412,0.333,0.1,,0.667,1,,0.123,27,,0.3,0.333,,0,0
217,Tyler Herro\herroty01,SG,21,MIA,54,1635,0.439,16.5,,0.575,0.163,0.16,0.109,0.143,0.425,,0.498,0.667,0.455,0.408,0.42,0.36,,0.46,0.729,,0.011,7,,0.138,0.463,,4,0
218,Buddy Hield\hieldbu01,SG,28,SAC,71,2433,0.406,21.2,,0.273,0.087,0.06,0.064,0.063,0.727,,0.446,0.64,0.267,0.444,0.355,0.391,,0.331,0.812,,0.009,8,,0.136,0.469,,1,0
219,George Hill\hillge01,PG,34,TOT,30,672,0.482,14.4,,0.594,0.259,0.147,0.112,0.076,0.406,,0.547,0.647,0.483,0.455,0.467,0.388,,0.453,0.806,,0.01,2,,0.288,0.435,,0,0
219,George Hill\hillge01,PG,34,OKC,14,369,0.508,15.3,,0.525,0.25,0.133,0.092,0.05,0.475,,0.619,0.7,0.625,0.364,0.667,0.386,,0.462,0.864,,0,0,,0.263,0.4,,0,0
219,George Hill\hillge01,PG,34,PHI,16,303,0.442,13.1,,0.701,0.273,0.169,0.143,0.117,0.299,,0.463,0.571,0.308,0.545,0.333,0.391,,0.44,0.667,,0.026,2,,0.348,0.5,,0,0
220,Solomon Hill\hillso01,PF,29,ATL,71,1513,0.359,19,,0.289,0.164,0.081,0.017,0.027,0.711,,0.453,0.571,0.333,0.2,0.25,0.321,,0.59,1,,0.027,6,,0.392,0.301,,1,0
221,Nate Hinton\hintona01,SG,21,DAL,21,93,0.357,17.6,,0.548,0.143,0.119,0.071,0.214,0.452,,0.478,0.5,0.2,0.667,0.556,0.211,,0.182,0.75,,0.024,1,,0.158,0.667,,0,0
222,Jaylen Hoard\hoardja01,SF,21,OKC,19,320,0.5,6,,0.875,0.602,0.227,0.034,0.011,0.125,,0.571,0.698,0.25,0.333,1,0,,0.636,,,0.091,6,,0.545,0,,0,0
223,Aaron Holiday\holidaa01,PG,24,IND,66,1176,0.39,14.5,,0.583,0.239,0.218,0.076,0.05,0.417,,0.406,0.481,0.316,0.333,0.545,0.368,,0.456,0.925,,0,0,,0.17,0.581,,1,0
224,Jrue Holiday\holidjr01,PG,30,MIL,59,1907,0.503,13.1,,0.656,0.279,0.199,0.108,0.069,0.344,,0.561,0.704,0.433,0.528,0.404,0.392,,0.33,0.541,,0.01,6,,0.177,0.36,,2,0
225,Justin Holiday\holidju01,SG,31,IND,72,2183,0.413,19.9,,0.275,0.165,0.034,0.027,0.05,0.725,,0.494,0.612,0.19,0.118,0.516,0.382,,0.671,0.971,,0.034,18,,0.371,0.435,,0,0
226,Rondae Hollis-Jefferson\holliro01,PF,26,POR,11,107,0.5,4.6,,0.944,0.556,0.333,0.056,0,0.056,,0.529,0.5,0.5,1,,0,,0.444,,,0.056,1,,1,0,,0,0
227,Richaun Holmes\holmeri01,C,27,SAC,61,1782,0.637,6.9,,0.981,0.405,0.283,0.257,0.035,0.019,,0.645,0.747,0.552,0.622,0.4,0.182,,0.816,1,,0.165,91,,0.182,0,,1,0
228,Rodney Hood\hoodro01,SF,28,TOT,55,942,0.362,17,,0.565,0.092,0.162,0.192,0.119,0.435,,0.408,0.583,0.286,0.42,0.419,0.301,,0.3,0.794,,0.012,2,,0.363,0.244,,1,0
228,Rodney Hood\hoodro01,SF,28,POR,38,726,0.363,16.7,,0.582,0.095,0.164,0.204,0.119,0.418,,0.41,0.526,0.273,0.439,0.458,0.298,,0.313,0.76,,0.015,2,,0.321,0.222,,0,0
228,Rodney Hood\hoodro01,SF,28,TOR,17,216,0.356,17.9,,0.508,0.085,0.153,0.153,0.119,0.492,,0.4,0.8,0.333,0.333,0.286,0.31,,0.25,0.889,,0,0,,0.483,0.286,,1,0
229,Al Horford\horfoal01,C,34,OKC,28,782,0.45,15.2,,0.578,0.169,0.225,0.1,0.083,0.422,,0.51,0.672,0.444,0.444,0.433,0.368,,0.566,0.929,,0.031,9,,0.118,0.222,,0,0
230,Talen Horton-Tucker\hortota01,SG,20,LAL,65,1304,0.458,10.3,,0.732,0.413,0.211,0.072,0.037,0.268,,0.522,0.639,0.359,0.486,0.222,0.282,,0.348,0.73,,0.049,15,,0.214,0.179,,1,0
231,Danuel House\houseda01,SF,27,HOU,36,932,0.404,17,,0.426,0.224,0.103,0.037,0.063,0.574,,0.483,0.557,0.464,0.3,0.353,0.346,,0.643,0.815,,0.074,16,,0.353,0.291,,1,1
232,Dwight Howard\howardw01,C,35,PHI,69,1196,0.587,4.4,,0.934,0.67,0.208,0.023,0.033,0.066,,0.611,0.665,0.476,0.286,0.6,0.25,,0.59,0.8,,0.317,85,,0.15,0.333,,1,0
233,Markus Howard\howarma02,SG,21,DEN,37,205,0.377,19.5,,0.387,0.123,0.085,0.094,0.085,0.613,,0.537,0.615,0.444,0.6,0.444,0.277,,0.409,0.778,,0,0,,0.092,0.5,,0,0
234,Kevin Huerter\huertke01,SG,22,ATL,69,2126,0.432,17.4,,0.472,0.12,0.167,0.141,0.044,0.528,,0.51,0.625,0.418,0.563,0.375,0.363,,0.409,0.879,,0.012,9,,0.199,0.403,,1,0
235,Elijah Hughes\hugheel01,SF,22,UTA,18,64,0.333,22,,0.233,0.033,0.067,0.067,0.067,0.767,,0.286,0,0,0.5,0.5,0.348,,1,0.875,,0,0,,0.261,0.833,,0,0
236,De'Andre Hunter\huntede01,SF,23,ATL,23,678,0.484,14.8,,0.617,0.226,0.129,0.153,0.109,0.383,,0.582,0.661,0.563,0.474,0.593,0.326,,0.629,0.903,,0.044,10,,0.326,0.29,,1,0
237,Chandler Hutchison\hutchch01,SF,24,TOT,25,346,0.379,9.4,,0.786,0.252,0.437,0.068,0.029,0.214,,0.383,0.346,0.422,0.286,0.333,0.364,,0.871,1,,0.058,4,,0.818,0.389,,1,0
237,Chandler Hutchison\hutchch01,SF,24,CHI,7,64,0.278,7.8,,0.833,0.5,0.278,0.056,0,0.167,,0.267,0.222,0.4,0,,0.333,,1,1,,0.111,2,,0.333,1,,1,0
237,Chandler Hutchison\hutchch01,SF,24,WAS,18,282,0.4,9.8,,0.776,0.2,0.471,0.071,0.035,0.224,,0.409,0.412,0.425,0.333,0.333,0.368,,0.852,1,,0.047,2,,0.895,0.353,,0,0
238,Serge Ibaka\ibakase01,C,31,LAC,41,955,0.51,12.9,,0.685,0.244,0.268,0.085,0.088,0.315,,0.588,0.753,0.469,0.484,0.594,0.339,,0.673,1,,0.082,25,,0.043,0.2,,0,0
239,Andre Iguodala\iguodan01,SF,37,MIA,63,1339,0.383,20.3,,0.266,0.149,0.048,0.032,0.036,0.734,,0.53,0.649,0.5,0.25,0.333,0.33,,0.8,0.933,,0.077,17,,0.478,0.391,,5,0
240,Ersan İlyasova\ilyaser01,PF,33,UTA,17,148,0.389,21.6,,0.241,0.093,0.019,0.056,0.074,0.759,,0.231,0.4,0,0,0.25,0.439,,0.667,1,,0.019,0,,0.22,0.222,,0,0
241,Joe Ingles\inglejo01,SF,33,UTA,67,1867,0.489,19.8,,0.278,0.105,0.137,0.025,0.011,0.722,,0.59,0.729,0.506,0.571,0.333,0.451,,0.315,0.716,,0.002,1,,0.209,0.506,,1,0
242,Brandon Ingram\ingrabr01,SF,23,NOP,61,2093,0.466,15.9,,0.659,0.144,0.115,0.224,0.176,0.341,,0.51,0.677,0.417,0.449,0.51,0.381,,0.368,0.79,,0.027,26,,0.165,0.306,,3,0
243,Kyrie Irving\irvinky01,PG,28,BRK,54,1886,0.506,14.6,,0.652,0.195,0.196,0.159,0.101,0.348,,0.561,0.623,0.535,0.52,0.555,0.402,,0.234,0.579,,0.005,3,,0.071,0.37,,0,0
244,Wesley Iwundu\iwundwe01,SF,26,TOT,41,539,0.333,12,,0.598,0.373,0.176,0.02,0.029,0.402,,0.475,0.579,0.278,0.5,0.333,0.122,,0.828,1,,0.088,8,,0.512,0.143,,0,0
244,Wesley Iwundu\iwundwe01,SF,26,DAL,23,288,0.327,12.7,,0.558,0.365,0.135,0.038,0.019,0.442,,0.483,0.579,0.286,0.5,0,0.13,,0.857,1,,0.115,5,,0.565,0.154,,0,0
244,Wesley Iwundu\iwundwe01,SF,26,NOP,18,251,0.34,11.3,,0.64,0.38,0.22,0,0.04,0.36,,0.469,0.579,0.273,,0.5,0.111,,0.8,1,,0.06,3,,0.444,0.125,,0,0
245,Frank Jackson\jacksfr01,PG,22,DET,40,738,0.457,16.4,,0.488,0.133,0.208,0.109,0.038,0.512,,0.51,0.59,0.541,0.406,0.364,0.407,,0.548,0.984,,0.02,4,,0.42,0.508,,0,0
246,Jaren Jackson Jr.\jacksja02,C,21,MEM,11,258,0.424,14.7,,0.52,0.192,0.28,0.04,0.008,0.48,,0.554,0.708,0.486,0.4,0,0.283,,0.667,1,,0.104,11,,0.267,0.25,,1,0
247,Josh Jackson\jacksjo02,SG,23,DET,62,1560,0.419,13.4,,0.636,0.267,0.221,0.064,0.085,0.364,,0.487,0.619,0.385,0.333,0.45,0.3,,0.457,0.922,,0.038,23,,0.268,0.319,,2,0
248,Justin Jackson\jacksju01,SF,25,TOT,34,577,0.403,16.8,,0.471,0.136,0.213,0.095,0.027,0.529,,0.51,0.7,0.468,0.333,0.5,0.308,,0.717,0.806,,0.005,1,,0.162,0.211,,0,0
248,Justin Jackson\jacksju01,SF,25,OKC,33,544,0.406,16.7,,0.476,0.137,0.217,0.094,0.028,0.524,,0.515,0.724,0.478,0.3,0.5,0.306,,0.712,0.824,,0.005,1,,0.171,0.211,,0,0
248,Justin Jackson\jacksju01,SF,25,MIL,1,33,0.333,19.6,,0.333,0.111,0.111,0.111,0,0.667,,0.333,0,0,1,,0.333,,1,0.5,,0,0,,0,,,0,0
249,Reggie Jackson\jacksre01,SG,30,LAC,67,1544,0.45,16.2,,0.518,0.188,0.166,0.094,0.07,0.482,,0.465,0.609,0.361,0.345,0.488,0.433,,0.262,0.844,,0.015,8,,0.22,0.5,,1,0
250,Justin James\jamesju01,SF,24,SAC,36,310,0.468,13.2,,0.658,0.198,0.297,0.108,0.054,0.342,,0.521,0.682,0.424,0.667,0.167,0.368,,0.658,1,,0.063,5,,0.342,0.385,,1,0
251,LeBron James\jamesle01,PG,36,LAL,45,1504,0.513,13.9,,0.654,0.318,0.118,0.104,0.113,0.346,,0.591,0.782,0.474,0.384,0.366,0.365,,0.327,0.519,,0.062,48,,0.077,0.455,,0,0
252,Mike James\jamesmi02,PG,30,BRK,13,236,0.37,14.5,,0.663,0.13,0.272,0.152,0.109,0.337,,0.377,0.167,0.48,0.357,0.4,0.355,,0.174,0.455,,0.022,1,,0.226,0.571,,0,0
253,DaQuan Jeffries\jeffrda01,SG,23,TOT,31,493,0.417,16.3,,0.442,0.2,0.167,0.025,0.05,0.558,,0.566,0.792,0.35,0,0.667,0.299,,0.6,0.95,,0.108,10,,0.388,0.346,,0,0
253,DaQuan Jeffries\jeffrda01,SG,23,SAC,18,232,0.421,14.6,,0.509,0.228,0.211,0.053,0.018,0.491,,0.517,0.769,0.333,0,1,0.321,,0.8,1,,0.105,4,,0.429,0.333,,0,0
253,DaQuan Jeffries\jeffrda01,SG,23,HOU,13,261,0.413,17.8,,0.381,0.175,0.127,0,0.079,0.619,,0.625,0.818,0.375,,0.6,0.282,,0.4,0.909,,0.111,6,,0.359,0.357,,0,0
254,Ty Jerome\jeromty01,SG,23,OKC,33,788,0.446,18.9,,0.415,0.059,0.226,0.087,0.042,0.585,,0.479,0.647,0.508,0.48,0.083,0.423,,0.228,0.817,,0,0,,0.155,0.462,,2,0
255,Isaiah Joe\joeis01,SG,21,PHI,41,383,0.361,23.3,,0.203,0.03,0.045,0.053,0.075,0.797,,0.333,0.25,0.167,0.429,0.4,0.368,,0.556,1,,0,0,,0.198,0.333,,0,0
256,Alize Johnson\johnsal02,PF,24,BRK,18,189,0.588,6.3,,0.912,0.397,0.412,0.103,0,0.088,,0.629,0.815,0.429,0.714,,0.167,,0.615,1,,0.015,1,,0.333,0,,0,0
257,Cameron Johnson\johnsca02,PF,24,PHO,60,1437,0.42,19.5,,0.306,0.143,0.066,0.054,0.043,0.694,,0.581,0.754,0.5,0.346,0.429,0.349,,0.837,0.983,,0.046,20,,0.379,0.425,,1,0
258,James Johnson\johnsja01,PF,33,TOT,51,1043,0.446,11.7,,0.633,0.364,0.205,0.049,0.015,0.367,,0.556,0.672,0.403,0.313,0.6,0.258,,0.557,0.935,,0.043,12,,0.433,0.231,,1,0
258,James Johnson\johnsja01,PF,33,DAL,29,504,0.462,12.6,,0.586,0.345,0.2,0.028,0.014,0.414,,0.612,0.74,0.414,0.5,0.5,0.25,,0.558,1,,0.034,5,,0.533,0.219,,1,0
258,James Johnson\johnsja01,PF,33,NOP,22,539,0.434,11,,0.67,0.379,0.209,0.066,0.016,0.33,,0.516,0.623,0.395,0.25,0.667,0.267,,0.556,0.875,,0.049,7,,0.333,0.25,,0,0
259,Keldon Johnson\johnske04,SF,21,SAS,69,1968,0.479,9.7,,0.743,0.391,0.277,0.045,0.03,0.257,,0.531,0.652,0.374,0.5,0.429,0.331,,0.673,0.917,,0.047,27,,0.238,0.279,,2,0
260,Stanley Johnson\johnsst04,PF,24,TOR,61,1006,0.382,17.1,,0.412,0.193,0.159,0.043,0.017,0.588,,0.458,0.489,0.486,0.4,0,0.328,,0.318,0.956,,0.017,4,,0.314,0.349,,1,0
261,Tyler Johnson\johnsty01,SG,28,BRK,39,684,0.393,21,,0.279,0.082,0.055,0.066,0.077,0.721,,0.471,0.6,0.4,0.417,0.429,0.364,,0.625,0.958,,0,0,,0.311,0.415,,1,0
262,Nikola Jokić\jokicni01,C,25,DEN,72,2488,0.566,10.6,,0.817,0.244,0.35,0.14,0.082,0.183,,0.606,0.753,0.572,0.481,0.528,0.388,,0.484,0.967,,0.037,45,,0.034,0.375,,3,0
263,Damian Jones\jonesda03,C,25,TOT,39,547,0.68,6.1,,0.951,0.631,0.184,0.087,0.049,0.049,,0.704,0.769,0.632,0.667,0.2,0.2,,0.884,1,,0.35,31,,0.2,1,,2,0
263,Damian Jones\jonesda03,C,25,PHO,14,94,0.5,9.5,,0.938,0.625,0.188,0.063,0.063,0.063,,0.533,0.6,0.333,1,0,0,,1,,,0.313,3,,0,,,1,0
263,Damian Jones\jonesda03,C,25,LAL,8,112,0.941,1.8,,1,0.765,0.235,0,0,0,,0.941,0.923,1,,,,,0.75,,,0.647,10,,,,,0,0
263,Damian Jones\jonesda03,C,25,SAC,17,341,0.657,6.4,,0.943,0.6,0.171,0.114,0.057,0.057,,0.682,0.762,0.583,0.625,0.25,0.25,,0.911,1,,0.286,18,,0.25,1,,1,0
264,Derrick Jones Jr.\jonesde02,SF,23,POR,58,1318,0.484,12,,0.553,0.467,0.079,0.003,0.003,0.447,,0.619,0.662,0.375,1,0,0.316,,0.673,0.977,,0.197,50,,0.522,0.31,,1,0
265,Mason Jones\jonesma05,SG,22,TOT,32,334,0.423,17.6,,0.463,0.171,0.163,0.057,0.073,0.537,,0.491,0.619,0.4,0.571,0.333,0.364,,0.5,0.708,,0.008,1,,0.106,0.571,,0,0
265,Mason Jones\jonesma05,SG,22,HOU,26,307,0.412,18.3,,0.439,0.149,0.158,0.061,0.07,0.561,,0.48,0.588,0.389,0.571,0.375,0.359,,0.5,0.696,,0,0,,0.109,0.571,,0,0
265,Mason Jones\jonesma05,SG,22,PHI,6,27,0.556,9.1,,0.778,0.444,0.222,0,0.111,0.222,,0.571,0.75,0.5,,0,0.5,,0.5,1,,0.111,1,,0,,,0,0
266,Tre Jones\jonestr01,PG,21,SAS,37,269,0.474,6.9,,0.936,0.397,0.333,0.192,0.013,0.064,,0.466,0.742,0.231,0.333,0,0.6,,0.412,0.333,,0.026,2,,0.4,0.5,,0,0
267,Tyus Jones\jonesty01,PG,24,MEM,70,1222,0.431,14.2,,0.661,0.133,0.225,0.257,0.046,0.339,,0.487,0.527,0.484,0.5,0.316,0.321,,0.293,0.911,,0,0,,0.3,0.31,,0,0
268,DeAndre Jordan\jordade01,C,32,BRK,57,1246,0.763,1.7,,0.996,0.876,0.108,0.004,0.008,0.004,,0.766,0.826,0.37,0,0,0,,0.8,,,0.61,137,,0,,,0,0
269,Cory Joseph\josepco01,PG,29,TOT,63,1446,0.469,13,,0.69,0.218,0.254,0.143,0.075,0.31,,0.527,0.753,0.463,0.328,0.469,0.341,,0.335,0.889,,0,0,,0.303,0.4,,0,0
269,Cory Joseph\josepco01,PG,29,SAC,44,944,0.444,14.3,,0.624,0.2,0.196,0.14,0.088,0.376,,0.513,0.74,0.51,0.2,0.5,0.33,,0.413,0.968,,0,0,,0.362,0.441,,0,0
269,Cory Joseph\josepco01,PG,29,DET,19,502,0.506,11.2,,0.784,0.244,0.335,0.148,0.057,0.216,,0.543,0.767,0.424,0.5,0.4,0.368,,0.253,0.714,,0,0,,0.158,0.167,,0,0
270,Mfiondu Kabengele\kabenmf01,PF,23,TOT,39,280,0.371,16.1,,0.438,0.27,0.09,0.056,0.022,0.562,,0.513,0.667,0.375,0.2,0,0.26,,0.5,0.923,,0.101,9,,0.26,0.231,,0,0
270,Mfiondu Kabengele\kabenmf01,PF,23,LAC,23,94,0.281,17,,0.438,0.125,0.188,0.063,0.063,0.563,,0.357,0.75,0.333,0,0,0.222,,0.8,0.75,,0.063,2,,0.278,0.4,,0,0
270,Mfiondu Kabengele\kabenmf01,PF,23,CLE,16,186,0.421,15.6,,0.439,0.351,0.035,0.053,0,0.561,,0.6,0.65,0.5,0.333,,0.281,,0.4,1,,0.123,7,,0.25,0.125,,0,0
271,Frank Kaminsky\kaminfr01,C,27,PHO,47,715,0.471,12.2,,0.669,0.276,0.276,0.07,0.047,0.331,,0.523,0.676,0.451,0.444,0.167,0.365,,0.767,1,,0.035,9,,0.188,0.5,,0,0
272,Enes Kanter\kanteen01,C,28,POR,72,1758,0.604,2.7,,0.993,0.695,0.275,0.016,0.007,0.007,,0.607,0.695,0.416,0.222,0.25,0.25,,0.459,1,,0.032,16,,0,,,1,0
273,Luke Kennard\kennalu01,SG,24,LAC,63,1232,0.476,18.9,,0.459,0.089,0.094,0.143,0.133,0.541,,0.511,0.757,0.462,0.475,0.418,0.446,,0.66,0.8,,0,0,,0.295,0.47,,1,1
