Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,# du,,%3PA c,3P% c,,Att.,#
31,RJ Barrett\barrerj01,SG,20,NYK,72,2511,0.441,11.5,,0.708,0.325,0.228,0.087,0.069,0.292,,0.457,0.605,0.318,0.315,0.397,0.401,,0.353,0.976,,0.04,39,,0.427,0.424,,1,0
32,Will Barton\bartowi01,SF,30,DEN,56,1736,0.426,14.5,,0.577,0.227,0.211,0.072,0.067,0.423,,0.459,0.63,0.297,0.455,0.39,0.381,,0.484,0.745,,0.035,19,,0.183,0.489,,1,0
33,Keita Bates-Diop\bateske01,SF,25,SAS,30,245,0.448,9.7,,0.746,0.388,0.284,0.045,0.03,0.254,,0.5,0.808,0.158,0.333,0,0.294,,0.64,1,,0.03,2,,0.529,0.222,,0,0
34,Nicolas Batum\batumni01,SF,32,LAC,67,1835,0.464,19.1,,0.34,0.177,0.024,0.053,0.085,0.66,,0.579,0.699,0.6,0.455,0.4,0.404,,0.778,0.991,,0.046,18,,0.434,0.432,,0,0
35,Aron Baynes\baynear01,C,34,TOR,53,980,0.441,11.4,,0.661,0.385,0.181,0.056,0.039,0.339,,0.532,0.59,0.473,0.471,0.333,0.262,,0.738,1,,0.118,31,,0.155,0.188,,0,0
36,Kent Bazemore\bazemke01,SF,31,GSW,67,1333,0.449,15.3,,0.531,0.214,0.168,0.061,0.087,0.469,,0.486,0.643,0.485,0.292,0.235,0.408,,0.624,0.907,,0.01,4,,0.527,0.392,,0,0
37,Darius Bazley\bazleda01,PF,20,OKC,55,1714,0.396,13.3,,0.586,0.306,0.197,0.039,0.043,0.414,,0.47,0.621,0.287,0.37,0.333,0.29,,0.5,0.831,,0.072,44,,0.217,0.242,,1,0
38,Bradley Beal\bealbr01,SG,27,WAS,60,2147,0.485,13.3,,0.73,0.177,0.274,0.143,0.136,0.27,,0.535,0.66,0.53,0.47,0.452,0.349,,0.43,0.723,,0.021,24,,0.169,0.381,,0,0
39,Malik Beasley\beaslma01,SG,24,MIN,37,1214,0.44,16.4,,0.465,0.192,0.148,0.075,0.05,0.535,,0.487,0.6,0.449,0.267,0.5,0.399,,0.632,0.875,,0.027,13,,0.268,0.453,,0,0
40,Jordan Bell\belljo01,C,26,TOT,6,82,0.318,5.9,,0.909,0.545,0.273,0.045,0.045,0.091,,0.35,0.5,0,0,1,0,,0.714,,,0.136,1,,0.5,0,,0,0
40,Jordan Bell\belljo01,C,26,WAS,5,67,0.35,5.8,,0.9,0.55,0.3,0,0.05,0.1,,0.389,0.545,0,,1,0,,0.714,,,0.1,1,,0.5,0,,0,0
40,Jordan Bell\belljo01,C,26,GSW,1,15,0,6.7,,1,0.5,0,0.5,0,0,,0,0,,0,,,,,,,0.5,0,,,,,0,0
41,DeAndre' Bembry\bembrde01,SF,26,TOR,51,972,0.513,8.9,,0.768,0.377,0.342,0.035,0.013,0.232,,0.589,0.767,0.436,0.375,0,0.264,,0.583,0.929,,0.132,23,,0.226,0.333,,0,0
42,Dāvis Bertāns\bertada01,PF,28,WAS,57,1464,0.404,24.8,,0.105,0.036,0.04,0.013,0.017,0.895,,0.48,0.706,0.474,0.167,0.25,0.395,,0.75,0.97,,0.01,4,,0.143,0.443,,3,0
43,Patrick Beverley\beverpa01,PG,32,LAC,37,832,0.423,18.2,,0.359,0.173,0.132,0.032,0.023,0.641,,0.468,0.5,0.483,0.286,0.4,0.397,,0.378,0.929,,0,0,,0.291,0.463,,0,0
44,Saddiq Bey\beysa01,SF,21,DET,70,1909,0.404,19,,0.334,0.158,0.097,0.049,0.03,0.666,,0.45,0.596,0.313,0.294,0.381,0.38,,0.49,0.926,,0.035,22,,0.228,0.39,,2,0
45,Tyler Bey\beyty01,SF,22,DAL,18,71,0.318,9.6,,0.818,0.364,0.227,0.182,0.045,0.182,,0.333,0.5,0.4,0,0,0.25,,0.667,0,,0.091,1,,0,,,0,0
46,Khem Birch\birchkh01,C,28,TOT,67,1529,0.497,8.3,,0.863,0.342,0.342,0.132,0.047,0.137,,0.537,0.692,0.431,0.46,0.389,0.25,,0.761,1,,0.137,46,,0.654,0.294,,0,0
46,Khem Birch\birchkh01,C,28,ORL,48,952,0.45,7.8,,0.9,0.349,0.34,0.153,0.057,0.1,,0.479,0.63,0.394,0.313,0.5,0.19,,0.722,1,,0.115,21,,0.81,0.235,,0,0
46,Khem Birch\birchkh01,C,28,TOR,19,577,0.556,8.9,,0.819,0.333,0.345,0.105,0.035,0.181,,0.614,0.772,0.475,0.722,0.167,0.29,,0.802,1,,0.164,25,,0.548,0.353,,0,0
47,Goga Bitadze\bitadgo01,C,21,IND,45,561,0.428,13,,0.593,0.34,0.191,0.052,0.01,0.407,,0.548,0.697,0.297,0.6,0,0.253,,0.635,1,,0.098,17,,0.051,0,,0,0
48,Bismack Biyombo\biyombi01,C,28,CHO,66,1349,0.587,2.8,,0.996,0.698,0.256,0.037,0.004,0.004,,0.589,0.692,0.355,0.333,0,0,,0.873,,,0.318,70,,1,0,,0,0
49,Nemanja Bjelica\bjeline01,PF,32,TOT,37,595,0.454,13.7,,0.566,0.311,0.219,0.015,0.02,0.434,,0.559,0.689,0.395,0.333,0.5,0.318,,0.645,0.889,,0.005,0,,0.153,0.385,,0,0
49,Nemanja Bjelica\bjeline01,PF,32,SAC,26,439,0.46,12.7,,0.613,0.327,0.247,0.013,0.027,0.387,,0.565,0.673,0.432,0.5,0.5,0.293,,0.635,0.882,,0.007,0,,0.155,0.444,,0,0
49,Nemanja Bjelica\bjeline01,PF,32,MIA,11,156,0.435,16.8,,0.413,0.261,0.13,0.022,0,0.587,,0.526,0.75,0.167,0,,0.37,,0.7,0.9,,0,0,,0.148,0.25,,0,0
50,Eric Bledsoe\bledser01,SG,31,NOP,71,2111,0.421,16.5,,0.514,0.159,0.167,0.11,0.078,0.486,,0.496,0.681,0.393,0.425,0.439,0.341,,0.489,0.86,,0,0,,0.22,0.346,,1,0
51,Keljin Blevins\blevike01,SF,25,POR,17,75,0.25,12.5,,0.6,0.2,0.35,0.05,0,0.4,,0.25,0.5,0.143,0,,0.25,,0,1,,0,0,,0.125,0,,0,0
52,Bogdan Bogdanović\bogdabo01,SG,28,ATL,44,1305,0.473,18.7,,0.411,0.11,0.108,0.122,0.071,0.589,,0.522,0.629,0.459,0.464,0.55,0.438,,0.397,0.836,,0,0,,0.216,0.556,,0,0
53,Bojan Bogdanović\bogdabo02,SF,31,UTA,72,2216,0.439,15.4,,0.502,0.181,0.226,0.079,0.016,0.498,,0.487,0.635,0.411,0.438,0.133,0.39,,0.412,0.961,,0.015,11,,0.406,0.444,,0,0
54,Bol Bol\bolbo01,PF,21,DEN,32,160,0.431,16.1,,0.586,0.172,0.172,0.121,0.121,0.414,,0.471,0.9,0.3,0.286,0.286,0.375,,0.625,0.667,,0.086,5,,0.125,0.333,,0,0
55,Marques Bolden\boldema01,C,22,CLE,6,29,0.333,7.7,,1,0.333,0.333,0.333,0,0,,0.333,1,0,0,,,,1,,,0,0,,,,,0,0
56,Jordan Bone\bonejo01,PG,23,ORL,14,196,0.426,20.8,,0.407,0.019,0.093,0.019,0.278,0.593,,0.591,1,1,0,0.467,0.313,,0.154,0.5,,0,0,,0.313,0,,0,0
57,Isaac Bonga\bongais01,SF,21,WAS,40,432,0.37,16,,0.42,0.16,0.235,0.025,0,0.58,,0.5,0.692,0.421,0,,0.277,,0.529,1,,0.012,1,,0.617,0.31,,0,0
58,Devin Booker\bookede01,SG,24,PHO,67,2270,0.484,14.5,,0.712,0.179,0.163,0.231,0.139,0.288,,0.543,0.678,0.481,0.542,0.441,0.34,,0.394,0.659,,0.021,24,,0.086,0.5,,1,0
59,Chris Boucher\bouchch01,C,28,TOR,60,1453,0.514,12.8,,0.58,0.382,0.154,0.014,0.03,0.42,,0.609,0.692,0.465,0.5,0.353,0.383,,0.687,0.978,,0.096,46,,0.14,0.333,,0,0
60,Brian Bowen\bowenbr02,SF,22,IND,6,15,0.25,16.6,,0.75,0,0.25,0,0.5,0.25,,0.333,,1,,0,0,,1,,,0,0,,0,,,0,0
61,Avery Bradley\bradlav01,SG,30,TOT,27,602,0.374,18.2,,0.409,0.158,0.099,0.035,0.117,0.591,,0.443,0.741,0.353,0.167,0.2,0.327,,0.71,0.939,,0,0,,0.396,0.375,,0,0
61,Avery Bradley\bradlav01,SG,30,MIA,10,211,0.47,17.8,,0.424,0.136,0.121,0.061,0.106,0.576,,0.536,0.889,0.375,0.25,0.429,0.421,,0.733,1,,0,0,,0.5,0.421,,0,0
61,Avery Bradley\bradlav01,SG,30,HOU,17,391,0.314,18.5,,0.4,0.171,0.086,0.019,0.124,0.6,,0.381,0.667,0.333,0,0.077,0.27,,0.688,0.882,,0,0,,0.333,0.333,,0,0
62,Tony Bradley\bradlto01,C,23,TOT,42,684,0.665,4.3,,0.985,0.569,0.325,0.046,0.046,0.015,,0.675,0.741,0.656,0.444,0.222,0,,0.687,,,0.107,20,,0.333,0,,0,0
62,Tony Bradley\bradlto01,C,23,PHI,20,287,0.68,3.7,,0.987,0.613,0.293,0.053,0.027,0.013,,0.689,0.739,0.636,0.5,0.5,0,,0.627,,,0.08,6,,1,0,,0,0
