Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,#,,%3PA c,3P% c,,Att.,#
38,Jordan Bell\belljo01,C,25,TOT,29,256,0.522,7.2,,0.821,0.627,0.119,0.045,0.03,0.179,,0.564,0.643,0.5,0,0,0.333,,0.742,0.75,,0.134,8,,0.667,0.5,,0,0
39,DeAndre' Bembry\bembrde01,SG,25,ATL,43,915,0.456,9.7,,0.715,0.469,0.206,0.031,0.009,0.285,,0.546,0.607,0.426,0.571,0,0.231,,0.584,1,,0.096,19,,0.4,0.308,,1,0
40,Dragan Bender\bendedr01,PF-C,22,TOT,16,286,0.446,13.9,,0.533,0.272,0.261,0,0,0.467,,0.531,0.68,0.375,,,0.349,,0.846,1,,0.065,6,,0.279,0.417,,0,0
41,Dāvis Bertāns\bertada01,PF,27,WAS,54,1583,0.434,22.2,,0.226,0.097,0.059,0.034,0.036,0.774,,0.471,0.644,0.306,0.429,0.318,0.424,,0.754,0.915,,0.025,14,,0.078,0.568,,1,0
42,Patrick Beverley\beverpa01,PG,31,LAC,51,1342,0.431,17.2,,0.396,0.194,0.147,0.041,0.015,0.604,,0.496,0.591,0.46,0.286,0.2,0.388,,0.299,0.95,,0.006,1,,0.311,0.422,,0,0
43,Khem Birch\birchkh01,C,27,ORL,48,922,0.51,4.5,,0.993,0.476,0.448,0.063,0.007,0.007,,0.514,0.706,0.344,0.222,1,0,,0.671,,,0.175,23,,1,0,,0,0
44,Goga Bitadze\bitadgo01,C,20,IND,54,471,0.467,13.4,,0.72,0.267,0.167,0.14,0.147,0.28,,0.574,0.775,0.52,0.333,0.5,0.19,,0.839,1,,0.093,14,,0.095,0.25,,1,0
45,Bismack Biyombo\biyombi01,C,27,CHO,53,1029,0.543,3.6,,1,0.604,0.32,0.065,0.011,0,,0.543,0.702,0.315,0.278,0,,,0.834,,,0.212,56,,,,,0,0
46,Nemanja Bjelica\bjeline01,PF,31,SAC,72,2011,0.481,15.4,,0.51,0.253,0.198,0.031,0.029,0.49,,0.541,0.63,0.465,0.45,0.368,0.419,,0.55,0.948,,0.028,18,,0.125,0.525,,0,0
47,Eric Bledsoe\bledser01,PG,30,MIL,61,1646,0.475,12.2,,0.694,0.337,0.185,0.098,0.074,0.306,,0.533,0.709,0.354,0.362,0.404,0.344,,0.319,0.459,,0.003,2,,0.126,0.296,,0,0
